|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
0|Apartamento para venda possui 130 metros quadrados com 3 quartos em Praia do Meio - Natal|R$ 180.000|3 quartos|130m²|R$ 400|1 vaga|Natal, Praia do Meio | |1
1| | | | | | | | | 
2|Apartamento para venda com 180 metros quadrados com 3 quartos em Petrópolis - Natal - RN|R$ 700.000|3 quartos|180m²|R$ 1.500|2 vagas|Natal, Petrópolis | |2
3|Apartamento para venda Plaza Center, 75m², com 2 quartos em Tirol - Natal|R$ 220.000|2 quartos|75m²|R$ 770|1 vaga|Natal, Tirol | |1
4|Apartamento para venda tem 55 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 135.000|2 quartos|55m²|R$ 100|1 vaga|Natal, Capim Macio | |1
5|Apartamento para venda com 50 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 108.000|2 quartos|50m²|R$ 100|1 vaga|Natal, Capim Macio | |1
6|Apartamento para venda possui 98 metros quadrados com 3 quartos em Capim Macio - Natal - R|R$ 410.000|3 quartos|98m²|R$ 0|2 vagas|Natal, Capim Macio | |2
7|Apartamento para venda tem 57 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 295.000|2 quartos|57m²|R$ 363|1 vaga|Natal, Ponta Negra | |1
8|Apartamento para venda Flamboyants, 58m², com 2 quartos em Capim Macio - Natal - RN|R$ 115.000|2 quartos|58m²|R$ 100|1 vaga|Natal, Capim Macio | |1
9|Apartamento para venda Terramaris, 80m²,com 3 quartos em Ponta Negra - Natal - RN|R$ 590.000|3 quartos|80m²|R$ 550|2 vagas|Natal, Ponta Negra | |2
10|Apartamento para venda com 250 metros quadrados com 4 quartos em Areia Preta - Natal - RN|R$ 2.270.000|4 quartos|250m²|R$ 2.000|4 vagas|Natal, Areia Preta | |4
11|Apartamento para venda com 65 metros quadrados com 2 quartos em Praia do Meio - Natal - RN|R$ 120.000|2 quartos|55m²|R$ 250|1 vaga|Natal, Praia do Meio | |1
12| | | | | | | | | 
13|Apartamento para venda possui 97 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 669.000|2 quartos|82m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
14|Apartamento Sun River para venda com 75 metros quadrados com 3 quartos em Ribeira - Natal |R$ 369.900|3 quartos|75m²|R$ 300|2 vagas|Natal, Ribeira | |2
